East	W	L	PCT	GB	HOME	ROAD	RS	RA	DIFF	STRK	L10	
0	Toronto Blue Jays	71	56	0.559	-	37-28	34-28	608	517	91	L2	5-5
1	Boston Red Sox	71	56	0.559	-	38-27	33-29	689	570	119	L2	6-4
2	Baltimore Orioles	70	57	0.551	1	42-22	28-35	601	577	24	L1	4-6
3	New York Yankees	65	61	0.516	5.5	35-27	30-34	525	547	-22	W2	5-5
4	Tampa Bay Rays	54	72	0.429	16.5	32-37	22-35	525	542	-17	W2	7-3
5	Cleveland Indians	72	54	0.571	-	39-23	33-31	619	534	85	L3	5-5
6	Detroit Tigers	68	59	0.535	4.5	35-26	33-33	596	574	22	W4	5-5
7	Kansas City Royals	66	61	0.52	6.5	40-21	26-40	501	523	-22	W1	9-1
8	Chicago White Sox	61	65	0.484	11	33-28	28-37	512	550	-38	W1	5-5
9	Minnesota Twins	49	78	0.386	23.5	25-40	24-38	574	686	-112	L7	2-8
10	Texas Rangers	75	53	0.586	-	40-20	35-33	597	589	8	W2	6-4
11	Seattle Mariners	67	60	0.528	7.5	36-28	31-32	593	550	43	L3	4-6
12	Houston Astros	66	61	0.52	8.5	34-28	32-33	578	535	43	W1	5-5
13	Oakland Athletics	55	72	0.433	19.5	30-36	25-36	509	599	-90	W2	3-7
14	Los Angeles Angels	54	73	0.425	20.5	29-33	25-40	566	605	-39	W2	5-5
15	Washington Nationals	74	53	0.583	-	37-24	37-29	616	477	139	W1	4-6
16	Miami Marlins	66	61	0.52	8	32-30	34-31	533	520	13	L1	5-5
17	New York Mets	64	63	0.504	10	31-30	33-33	487	497	-10	W1	5-5
18	Philadelphia Phillies	59	68	0.465	15	30-33	29-35	479	605	-126	W1	5-5
19	Atlanta Braves	47	81	0.367	27.5	19-44	28-37	478	628	-150	W1	3-7
20	Chicago Cubs	81	45	0.643	-	45-19	36-26	647	430	217	W3	8-2
21	St. Louis Cardinals	67	59	0.532	14	29-35	38-24	632	551	81	L1	7-3
22	Pittsburgh Pirates	64	61	0.512	16.5	34-30	30-31	564	558	6	W1	5-5
23	Milwaukee Brewers	56	71	0.441	25.5	36-30	20-41	523	600	-77	L1	4-6
24	Cincinnati Reds	54	72	0.429	27	32-33	22-39	565	679	-114	L1	6-4
25	Los Angeles Dodgers	71	56	0.559	-	40-25	31-31	577	508	69	L1	6-4
26	San Francisco Giants	69	58	0.543	2	35-28	34-30	565	517	48	W1	3-7
27	Colorado Rockies	60	67	0.472	11	32-31	28-36	667	659	8	L3	4-6
28	San Diego Padres	53	74	0.417	18	30-34	23-40	551	618	-67	L3	3-7
29	Arizona Diamondbacks	53	75	0.414	18.5	23-42	30-33	585	717	-132	L1	4-6
